East Asia and Pacific,Eastern Europe and Central Asia,Eastern and Southern Africa,Europe and Central Asia,Latin America and Caribbean,Middle East and North Africa,North America,South Asia,Sub-Saharan Africa,West and Central Africa,Western Europe
831611.706,234178.307,90060.345,591785.394,162749.258,79857.786,166660.965,442925.736,181811.04,91750.695,357607.087
846490.487,237977.225,91990.978,598177.66,167026.486,81717.283,169227.89,452200.648,185480.976,93489.998,360200.435
861567.044,241795.674,94017.96,604211.681,171476.106,83683.948,171901.353,462065.168,189310.014,95292.054,362416.007
880871.488,245745.637,96130.201,610665.812,176089.283,85768.421,174652.689,472430.819,193264.928,97134.727,364920.175
899226.498,249811.107,98304.334,617588.074,180857.376,87934.175,177479.692,482926.195,197306.371,99002.037,367776.967
919569.315,254086.604,100588.624,624610.857,185799.819,90166.731,180430.898,494227.017,201538.798,100950.174,370524.253
940492.095,258455.013,102976.614,631801.704,190907.521,92481.022,183425.7,505875.536,205944.806,102968.192,373346.691
960433.447,263133.578,105474.018,639092.58,196195.117,94861.721,186543.465,517984.87,210535.317,105061.299,375959.002
983366.261,267931.864,107952.235,647175.477,201649.154,97233.372,189737.648,529859.292,215173.347,107221.112,379243.613
1003970.316,272851.004,110485.282,655373.354,207265.146,99653.862,192901.142,542682.328,219879.032,109393.75,382522.35
1016608.204,277414.785,113336.647,663103.586,213073.699,102274.491,196421.428,555843.268,225075.985,111739.338,385688.801
1024621.605,282183.949,116324.197,670983.384,219040.037,104980.429,199925.262,569484.077,230512.418,114188.221,388799.435
1034940.061,286844.544,119488.249,678895.987,225206.812,107782.504,203579.857,583620.435,236175.535,116687.286,392051.443
1059883.418,291251.936,122763.274,686702.511,231531.967,110758.533,207095.889,597825.717,242075.754,119312.48,395450.575
1091110.388,295527.318,126172.902,694334.586,238003.998,113825.68,210483.087,612501.234,248194.19,122021.288,398807.268
1117985.031,299542.822,129791.241,701724.17,244585.405,116989.203,213799.149,627450.219,254599.224,124807.983,402181.348
1145646.785,303259.468,133495.785,708696.856,251252.628,120218.691,216879.435,642036.503,261232.034,127736.249,405437.388
1173074.229,307065.573,137289.332,715618.13,257987.362,123664.874,219758.719,656615.657,268055.997,130766.665,408552.557
1201070.87,310984.888,141292.16,722051.143,264782.833,127215.392,222458.663,672063.246,275188.29,133896.13,411066.255
1232082.303,314861.928,145452.462,728625.298,271630.373,130902.505,225031.719,687415.421,282619.509,137167.047,413763.37
1262699.468,318530.367,149707.232,735041.723,278546.945,134725.814,227643.582,703087.969,290240.282,140533.05,416511.356
1293975.444,321801.654,154127.662,740146.593,285463.863,138618.25,230829.14,719982.142,298197.804,144070.142,418344.939
1323992.166,325451.903,158682.821,746735.125,292511.418,142596.467,233815.105,735011.717,306308.374,147625.553,421283.222
1353160.636,329102.404,163243.22,753110.513,299649.337,146681.348,236331.801,752628.456,314635.054,151391.834,424008.109
1381808.073,332637.237,168344.484,759104.45,306898.973,150908.222,238705.754,770612.777,323673.459,155328.975,426467.213
1408466.72,336290.395,173407.377,764764.199,314204.714,155325.773,241095.363,789651.215,332908.674,159501.297,428473.804
1432637.281,339921.287,178621.861,769906.406,321586.539,160272.141,243461.212,809004.069,342476.018,163854.157,429985.119
1455710.089,343850.482,184010.827,775479.206,329037.393,165301.716,245787.865,828791.414,352257.109,168246.282,431628.724
1477689.844,347680.808,189205.536,781045.338,336677.5,170454.73,248191.653,849214.719,362117.13,172911.594,433364.53
1499747.554,351353.93,195319.357,786402.46,344424.647,175834.794,250558.016,869281.14,373385.961,178066.604,435048.53
1523130.974,354634.631,201256.673,791592.377,352236.589,181522.269,253066.496,890905.235,384599.559,183342.886,436957.746
1547246.974,358029.457,207343.487,797181.268,360122.612,187593.191,255718.366,912754.959,395952.915,188609.428,439151.811
1572490.805,361391.796,214209.894,802006.593,367968.986,195104.833,258374.816,934001.419,408327.672,194117.778,440614.797
